true_news,not_similar
คณบดี คณะแพทยศาสตร์ศิริราชพยาบาล เตือนประเทศไทย ยังไม่ถึงจุดสูงสุดของการระบาด COVID19 เพราะจำนวนผู้ติดเชื้อยังไม่ลดลง จำเป็นต้องเร่งฉีดวัคซีนกลุ่มเสี่ยงเพื่อรับมือ,คณบดี คณะแพทยศาสตร์ศิริราชพยาบาล เตือนประเทศไทย ยังไม่ถึงจุดสูงสุดของการระบาด COVID19 เพราะจำนวนผู้ติดเชื้อยังไม่ลดลง จำเป็นต้องเร่งฉีดวัคซีนกลุ่มเสี่ยงเพื่อรับมือ
รัฐบาลเยอรมนีเตรียมยกเลิกการตรวจหาเชื้อโควิด-19 ฟรี ในเดือนตุลาคมนี้ เพื่อกระตุ้นให้ประชาชนเข้ารับการฉีดวัคซีนมากขึ้น วันใหม่ไทยพีบีเอส,รัฐบาลเยอรมนีเตรียมยกเลิกการตรวจหาเชื้อโควิด-19 ฟรี ในเดือนตุลาคมนี้ เพื่อกระตุ้นให้ประชาชนเข้ารับการฉีดวัคซีนมากขึ้น วันใหม่ไทยพีบีเอส
"อัปเดต ยอดผู้ป่วยติดเชื้อ COVID19 ทั่วโลก วันนี้ (10 ส.ค. 64 )  ณ เวลา 10.00  น.

 สถานการณ์ COVID-19 ทั่วโลก
• ออสเตรเลียอนุมัติวัคซีนโมเดอร์นา ขณะล็อกดาวน์ 2 รัฐใหญ่","อัปเดต ยอดผู้ป่วยติดเชื้อ COVID19 ทั่วโลก วันนี้ (10 ส.ค. 64 )  ณ เวลา 10.00  น.

 สถานการณ์ COVID-19 ทั่วโลก
• ออสเตรเลียอนุมัติวัคซีนโมเดอร์เนอร์ ขณะล็อกดาวน์ 2 รัฐใหญ่"
"ศบค.สรุปข้อมูลการให้บริการ ฉีดวัคซีน COVID19 ทั่วประเทศ
ภาพรวมผู้ได้รับวัคซีน วันที่ 9 ส.ค. 64 เวลา 18.00 น.
• ยอดฉีดทั่วประเทศเพิ่มขึ้น: 501,330 โดส 
• เข็มที่ 1 : 350,389 คน
• เข็มที่ 2 : 104,484  คน
• เข็มที่ 3 : 46,457 คน","ศคบ.สรุปข้อมูลการให้บริการ ฉีดวัคซีน COVID19 ทั่วประเทศ
ภาพรวมผู้ได้รับวัคซีน วันที่ 9 ส.ค. 64 เวลา 18.00 น.
• ยอดฉีดทั่วประเทศเพิ่มขึ้น: 501,330 โดส 
• เข็มที่ 1 : 350,389 คน
• เข็มที่ 2 : 104,484  คน
• เข็มที่ 3 : 46,457 คน"
"ผู้สูงอายุ 60 ปีขึ้นไป และหญิงตั้งครรภ์ไม่น้อยกว่า 12 สัปดาห์ ""วอล์กอิน"" ฉีดวัคซีนแอสตราเซเนกา ที่ศูนย์ฉีดวัคซีนโควิด-19 SCB สำนักงานใหญ่ รัชโยธิน โดยไม่ต้องลงทะเบียน ในวันที่ 10-14 ส.ค.นี้","ผู้สูงอายุ 60 ปีขึ้นไป และหญิงตั้งครรภ์ไม่น้อยกว่า 12 สัปดาห์ ""วอล์กอิน"" ฉีดวัคซีนแอสตราเซเนกา ที่ศูนย์ฉีดวัคซีนโควิด-19 SCB สำนักงานใหญ่ รัชโยธิน โดยไม่ต้องลงทะเบียน ในวันที่ 10-14 ส.ค.นี้"
"ผอ.รพ.มหาราชนครราชสีมา เปิดเผยถึงโควตาของ รพ.มหาราชนครราชสีมา มีบุคลากรทางการแพทย์ อยู่ประมาณ 5,000 คน ฉีดไฟเซอร์ไปแล้วร้อยละ 80

ยังเหลือบุคลากรทางการแพทย์อีกกว่า 800 ที่ยังไม่ได้ฉีดวัคซีนไฟเซอร์ วันใหม่ไทยพีบีเอส ","ผอ.รพ.มหาราชนครราชสีมา เปิดเผยถึงโควตาของ รพ.มหาราชนครราชสีมา มีบุคลากรทางการแพทย์ อยู่ประมาณ 5,000 คน ฉีดไฟเบอร์ไปแล้วร้อยละ 80

ยังเหลือบุคลากรทางการแพทย์อีกกว่า 800 ที่ยังไม่ได้ฉีดวัคซีนไฟเบอร์ วันใหม่ไทยพีบีเอส "
"ศบค.ชี้แจงการกระจายวัคซีนไฟเซอร์เบื้องต้น 50-60% ของความต้องการที่สำรวจได้ ล่าสุดบุคลากรแพทย์ฉีดแล้ว 39,483 คน พร้อมปรับโรงพยาบาลสนาม และ Hospitel รองรับผู้ป่วย COVID-19 ระดับสีเหลืองเพิ่มเติม","ศคบ.ชี้แจงการกระจายวัคซีนไฟเบอร์เบื้องต้น 50-60% ของความต้องการที่สำรวจได้ ล่าสุดบุคลากรแพทย์ฉีดแล้ว 39,483 คน พร้อมปรับโรงพยาบาลสนาม และ Hospitel รองรับผู้ป่วย COVID-19 ระดับสีเหลืองเพิ่มเติม"
"ศบค.สรุปข้อมูลการให้บริการ ฉีดวัคซีน COVID19 ทั่วประเทศ

 ภาพรวมผู้ได้รับวัคซีน วันที่ 8 ส.ค. 64 เวลา 18.00 น.
• ยอดฉีดทั่วประเทศเพิ่มขึ้น: 191,145 โดส 
• เข็มที่ 1 : 143,071 คน
• เข็มที่ 2 :   23,693 คน
• เข็มที่ 3 :   24,381 คน","ศคบ.สรุปข้อมูลการให้บริการ ฉีดวัคซีน COVID19 ทั่วประเทศ

 ภาพรวมผู้ได้รับวัคซีน วันที่ 8 ส.ค. 64 เวลา 18.00 น.
• ยอดฉีดทั่วประเทศเพิ่มขึ้น: 191,145 โดส 
• เข็มที่ 1 : 143,071 คน
• เข็มที่ 2 :   23,693 คน
• เข็มที่ 3 :   24,381 คน"
ในแต่ละจังหวัด สสจ.จะกำหนดหน่วยฉีด เนื่องจากไฟเซอร์มีข้อจำกัดในการขนส่ง การจัดเก็บที่ถูกต้อง โดยในสัปดาห์ที่ผ่านมา ก็มีการฉีดในหลายหน่วยงานแล้ว,ในแต่ละจังหวัด สสจ.จะกำหนดหน่วยฉีด เนื่องจากไฟเบอร์มีข้อจำกัดในการขนส่ง การจัดเก็บที่ถูกต้อง โดยในสัปดาห์ที่ผ่านมา ก็มีการฉีดในหลายหน่วยงานแล้ว
ศบค. ระบุการจัดสรรวัคซีนไฟเซอร์ กรมควบคุมโรคจะส่งวัคซีนให้ 50-60% ของความต้องการที่ได้สำรวจไว้ก่อน หลังจากนั้นจะสำรวจศักยภาพการฉีดของแต่ละจุด และจะจัดสรรเพิ่มเติม,ศคบ. ระบุการจัดสรรวัคซีนไฟเบอร์ กรมควบคุมโรคจะส่งวัคซีนให้ 50-60% ของความต้องการที่ได้สำรวจไว้ก่อน หลังจากนั้นจะสำรวจศักยภาพการฉีดของแต่ละจุด และจะจัดสรรเพิ่มเติม
โรงพยาบาลสังกัดสำนักการแพทย์ กรุงเทพมหานคร เริ่มฉีดวัคซีนไฟเซอร์ เข็ม 3 ให้บุคลากรทางการแพทย์และสาธารณสุขด่านหน้า เตรียมรวบรวมรายชื่อกลุ่มเสี่ยงปฏิบัติงานดูแลผู้ป่วยโควิด-19 เพิ่มเติม ​เพื่อรับจัดสรรรอบต่อไป,โรงพยาบาลสังกัดสำนักการแพทย์ กรุงเทพมหานคร เริ่มฉีดวัคซีนไฟเบอร์ เข็ม 3 ให้บุคลากรทางการแพทย์และสาธารณสุขด่านหน้า เตรียมรวบรวมรายชื่อกลุ่มเสี่ยงปฏิบัติงานดูแลผู้ป่วยโควิด-19 เพิ่มเติม ​เพื่อรับจัดสรรรอบต่อไป
เช็กด่วน! ผู้ที่มีอายุ 18 -59 ปี ที่ลงทะเบียนฉีดวัคซีนไทยร่วมใจ กรุงเทพฯ ปลอดภัย โดยลงทะเบียนฉีดวัคซีนรอบวันที่ 7-26 ก.ค. 64 ให้มา ฉีดวัคซีน ในวันที่ 10-14 ส.ค. 64 (รับการฉีดวัคซีนแอสตราเซเนกา เข็มที่ 1),เช็กด่วน! ผู้ที่มีอายุ 18 -59 ปี ที่ลงทะเบียนฉีดวัคซีนไทยร่วมใจ กรุงเทพฯ ปลอดภัย โดยลงทะเบียนฉีดวัคซีนรอบวันที่ 7-26 ก.ค. 64 ให้มา ฉีดวัคซีน ในวันที่ 10-14 ส.ค. 64 (รับการฉีดวัคซีนแอสตราเซเนกา เข็มที่ 1)
ไทยร่วมใจฯ แจ้งให้ผู้สูงอายุ 60 ปี ที่จองคิวทางโทรศัพท์ เข้ารับการฉีดวัคซีนป้องกัน COVID-19 ตามที่ได้นัดหมาย พร้อมแจ้งคิวฉีดใหม่ ผู้ที่ถูกเลื่อนตั้งแต่ 7-26 ก.ค. 64 มาเป็น 10-14 ส.ค. 64,ไทยร่วมใจฯ แจ้งให้ผู้สูงอายุ 60 ปี ที่จองคิวทางโทรศัพท์ เข้ารับการฉีดวัคซีนป้องกัน COVID-19 ตามที่ได้นัดหมาย พร้อมแจ้งคิวฉีดใหม่ ผู้ที่ถูกเลื่อนตั้งแต่ 7-26 ก.ค. 64 มาเป็น 10-14 ส.ค. 64
ผู้เชี่ยวชาญด้านสาธารณสุขของสหรัฐฯ เตือนประชาชนให้ฉีดวัคซีนโดยเร็วเพื่อป้องกันการกลายพันธุ์ของไวรัสที่อาจจะเลวร้ายกว่าเดิม ในขณะที่ประชาชนในรัฐฟลอริดาให้ความสนใจเข้ารับการตรวจหาเชื้อโควิด-19 หลังเกิดการระบาดรอบใหม่,ผู้เชี่ยวชาญด้านสาธารณสุขของเกาหลีใต้ฯ เตือนประชาชนให้ฉีดวัคซีนโดยเร็วเพื่อป้องกันการกลายพันธุ์ของไวรัสที่อาจจะเลวร้ายกว่าเดิม ในขณะที่ประชาชนในรัฐฟลอริดาให้ความสนใจเข้ารับการตรวจหาเชื้อโควิด-19 หลังเกิดการระบาดรอบใหม่
หลายจังหวัดเริ่มฉีดวัคซีนไฟเซอร์ เข็ม 3 ให้กับบุคลากรด่านหน้า แต่มีการตั้งข้อสังเกตว่า ทำไมเจ้าหน้าที่บางคนมีรายชื่อเป็นด่านหน้าด้วยทั้ง ๆ ที่ไม่เกี่ยวกับงานโควิด-19 ขณะที่กลุ่มอาสาสมัครในพื้นที่สีแดงเข้ม ยังตกหล่นไม่เคยเข้าถึงวัคซีน,หลายจังหวัดเริ่มฉีดวัคซีนไฟเบอร์ เข็ม 3 ให้กับบุคลากรด่านหน้า แต่มีการตั้งข้อสังเกตว่า ทำไมเจ้าหน้าที่บางคนมีรายชื่อเป็นด่านหน้าด้วยทั้ง ๆ ที่ไม่เกี่ยวกับงานโควิด-19 ขณะที่กลุ่มอาสาสมัครในพื้นที่สีแดงเข้ม ยังตกหล่นไม่เคยเข้าถึงวัคซีน
"สัปดาห์หน้า กรมควบคุมโรค เตรียมส่งวัคซีนไฟเซอร์ให้กลุ่มผู้สูงอายุ, ผู้ป่วย 7 โรคเรื้อรัง และหญิงตั้งครรภ์ 12 สัปดาห์ขึ้นไป ส่วนประชาชนที่ฉีดซิโนแวค 2 เข็มแล้ว เตรียมฉีดกระตุ้นเข็ม 3 ต้นปีหน้า ","สัปดาห์หน้า กรมควบคุมโรค เตรียมส่งวัคซีนไฟเบอร์ให้กลุ่มผู้สูงอายุ, ผู้ป่วย 7 โรคเรื้อรัง และหญิงตั้งครรภ์ 12 สัปดาห์ขึ้นไป ส่วนประชาชนที่ฉีดซิโนไทย 2 เข็มแล้ว เตรียมฉีดกระตุ้นเข็ม 3 ต้นปีหน้า "
"สธ. เปิดข้อมูล 4-7 ส.ค. 64 ฉีดวัคซีน ไฟเซอร์บุคลากรด่านหน้า 57,000 คน พร้อมเฝ้าระวังภาวะกล้ามเนื้อหัวใจอักเสบ-เยื่อหุ้มหัวใจอักเสบ กลุ่มอายุน้อยกว่า 30 ปี หลังพบสหรัฐฯ รายงานอาการไม่พึงประสงค์ 1,226 คน จากวัคซีน 300 ล้านโดส","สธ. เปิดข้อมูล 4-7 ส.ค. 64 ฉีดวัคซีน ไฟเบอร์บุคลากรด่านหน้า 57,000 คน พร้อมเฝ้าระวังภาวะกล้ามเนื้อหัวใจอักเสบ-เยื่อหุ้มหัวใจอักเสบ กลุ่มอายุน้อยกว่า 30 ปี หลังพบเกาหลีใต้ฯ รายงานอาการไม่พึงประสงค์ 1,226 คน จากวัคซีน 300 ล้านโดส"
"หลายจังหวัดในภาคตะวันออกเฉียงเหนือได้รับจัดสรรวัคซีนไฟเซอร์ เพื่อฉีดให้บุคลากรทางการแพทย์และกลุ่มเสี่ยง โดยเฉพาะที่จังหวัดเลย ฉีดวัคซีน ไฟเซอร์ให้บุคคลากรทางการแพทย์กว่า 2,000 คน เป็นวันแรก ","หลายจังหวัดในภาคตะวันออกเฉียงเหนือได้รับจัดสรรวัคซีนไฟเบอร์ เพื่อฉีดให้บุคลากรทางการแพทย์และกลุ่มเสี่ยง โดยเฉพาะที่จังหวัดเลย ฉีดวัคซีน ไฟเบอร์ให้บุคคลากรทางการแพทย์กว่า 2,000 คน เป็นวันแรก "
"วันนี้ (8 ส.ค.) เป็นวันที่ 2 ที่ กทม. เปิด ฉีดวัคซีน เข็มแรกให้ประชาชนที่ลงทะเบียนผ่าน ไทยร่วมใจ ใน 25 ศูนย์ฉีด นอกสถานพยาบาล ล่าสุดมีประชาชนเข้ารับบริการแล้วกว่า 60,000 คน มั่นใจ ส.ค.นี้ ฉีดวัคซีนได้ร้อยละ 70 ","วันนี้ (8 ส.ค.) เป็นวันที่ 2 ที่ กทม. เปิด ฉีดวัคซีน เข็มแรกให้ประชาชนที่ลงทะเบียนผ่าน ไทยร่วมใจ ใน 25 ศูนย์ฉีด นอกสถานพยาบาล ล่าสุดมีประชาชนเข้ารับบริการแล้วกว่า 60,000 คน มั่นใจ ส.ค.นี้ ฉีดวัคซีนได้ร้อยละ 70 "
"ภาพรวมผู้ได้รับวัคซีน วันที่ 7 ส.ค. 64 เวลา 18.00 น.
• ยอดฉีดทั่วประเทศเพิ่มขึ้น: 198,527 โดส แบ่งเป็น
• เข็มที่ 1 : 155,992 คน
• เข็มที่ 2 :   31,445 คน
• เข็มที่ 3 :   11,090 คน","ภาพรวมผู้ได้รับวัคซีน วันที่ 7 ส.ค. 64 เวลา 18.00 น.
• ยอดฉีดทั่วประเทศเพิ่มขึ้น: 198,527 โดส แบ่งเป็น
• เข็มที่ 1 : 155,992 คน
• เข็มที่ 2 :   31,445 คน
• เข็มที่ 3 :   11,090 คน"
วันนี้ (8 ส.ค. 64)  หน่วยความร่วมมือฉีดวัคซีนโควิด-19  ไทยพีบีเอส-ธนบุรีเฮลแคร์กรุ๊ป วันนี้เปิดให้ประชาชนที่ลงทะเบียน ฉีดวัคซีน ผ่านไทยร่วมใจ กลุ่มอายุ 18-59 ปี  ในคิวเดิมวันที่ 3-4 กรกฎาคม,วันนี้ (8 ส.ค. 64)  หน่วยความร่วมมือฉีดวัคซีนโควิด-19  ไทยพีบีเอส-ธนบุรีเฮลแคร์กรุ๊ป วันนี้เปิดให้ประชาชนที่ลงทะเบียน ฉีดวัคซีน ผ่านไทยร่วมใจ กลุ่มอายุ 18-59 ปี  ในคิวเดิมวันที่ 3-4 กรกฎาคม
เริ่มทยอยกระจายวัคซีน ไฟเซอร์ ล็อตแรก 1.5 ล้านโดสแล้ว มีบุคลากรทางการแพทย์เริ่มฉีดแล้ว อย่าง นพ. นิธิพัฒน์ เจียรกุล นายกสมาคมอุรเวชช์แห่งประเทศไทย ในพระบรมราชูปถัมภ์ ฉีดแล้ว รีวิวว่าไม่มีผลข้างเคียง,เริ่มทยอยกระจายวัคซีน ไฟเบอร์ ล็อตแรก 1.5 ล้านโดสแล้ว มีบุคลากรทางการแพทย์เริ่มฉีดแล้ว อย่าง นพ. นิธิพัฒน์ เจียรกุล นายกสมาคมอุรเวชช์แห่งประเทศไทย ในพระบรมราชูปถัมภ์ ฉีดแล้ว รีวิวว่าไม่มีผลข้างเคียง
สถานการณ์การแพร่ระบาดเชื้อ โควิด19 ที่ จ.นครราชสีมา ยังน่าห่วง รพ. มหาราชนครราชสีมา เร่ง ฉีดวัคซีน ไฟเซอร์ให้บุคลากรทางการแพทย์ด่านหน้า,สถานการณ์การแพร่ระบาดเชื้อ โควิด19 ที่ จ.นครราชสีมา ยังน่าห่วง รพ. มหาราชนครราชสีมา เร่ง ฉีดวัคซีน ไฟเบอร์ให้บุคลากรทางการแพทย์ด่านหน้า
สถานการณ์โควิด-19 ทั่วไทยยังวิกฤต หลายพื้นที่ต้องปรับตัวรับวิกฤต เจอทั้งปัญหาขยะพิษ เร่งฉีดวัคซีน ติดตั้งอุปกรณ์โรงพยาบาลสนามเพิ่ม,สถานการณ์โควิด-19 ทั่วไทยยังวิกฤต หลายพื้นที่ต้องปรับตัวรับวิกฤต เจอทั้งปัญหาขยะพิษ เร่งฉีดวัคซีน ติดตั้งอุปกรณ์โรงพยาบาลสนามเพิ่ม
"กระทรวงสาธารณสุข ชี้วันที่ 4-6 ส.ค.นี้จัดสรรไฟเซอร์ให้ 170 โรงพยาบาลใน 77 จังหวัดรวม 446,160 โดส เริ่มฉีดแล้ว 46,000 คน ยันไม่มีโควตาให้ ""หมอยง"" ","กระทรวงสาธารณสุข ชี้วันที่ 4-6 ส.ค.นี้จัดสรรไฟเบอร์ให้ 170 โรงพยาบาลใน 77 จังหวัดรวม 446,160 โดส เริ่มฉีดแล้ว 46,000 คน ยันไม่มีโควตาให้ ""หมอยง"" "
"ขอเชิญผู้ที่มีอายุ 18 ปีขึ้นไป สัญชาติไทย จองคิวฉีดวัคซีนแอสตราเซนเนกา (เข็มที่ 1) ลงทะเบียนได้ทางโทรศัพท์ วันอาทิตย์ที่ 8 ส.ค. 64 
โทร. 02-790-2855 (40 คู่สาย) เวลา 09.00 - 16.00 น. หรือจนกว่าจะเต็มจำนวน 
 สถานที่ฉีดวัคซีน : ไทยพีบีเอส ถ.วิภาวดีรังสิต เขตหลักสี่ กทม.","ขอเชิญผู้ที่มีอายุ 18 ปีขึ้นไป สัญชาติไทย จองคิวฉีดวัคซีนแอสตราเซนเนกา (เข็มที่ 1) ลงทะเบียนได้ทางโทรศัพท์ วันอาทิตย์ที่ 8 ส.ค. 64 
โทร. 02-790-2855 (40 คู่สาย) เวลา 09.00 - 16.00 น. หรือจนกว่าจะเต็มจำนวน 
 สถานที่ฉีดวัคซีน : ไทยพีบีเอส ถ.วิภาวดีรังสิต เขตหลักสี่ กทม."
"สำหรับการลงทะเบียนจองคิวฉีดวัคซีนแอสตราเซเนกา (เข็มที่1) เปิดลงทะเบียนทางโทรศัพท์ 02-790-2855 (40 คู่สาย) 8 ส.ค.นี้ 09.00-16.00 น. หรือจนกว่าจะเต็มจำนวน 
สถานที่ฉีด : ไทยพีบีเอส ถ.วิภาวดีรังสิต เขตหลักสี่ กทม. ค่ะ","สำหรับการลงทะเบียนจองคิวฉีดวัคซีนแอสตราเซเนกา (เข็มที่1) เปิดลงทะเบียนทางโทรศัพท์ 02-790-2855 (40 คู่สาย) 8 ส.ค.นี้ 09.00-16.00 น. หรือจนกว่าจะเต็มจำนวน 
สถานที่ฉีด : ไทยพีบีเอส ถ.วิภาวดีรังสิต เขตหลักสี่ กทม. ค่ะ"
"เงื่อนไข
1 ต้องเป็นผู้ที่มีอายุ 18 ปีขึ้นไป สัญชาติไทย
2 การโทรลงทะเบียน 1 ครั้ง แจ้งชื่อได้ไม่เกิน 2 ท่าน
3 หลังจากลงทะเบียนเรียบร้อยไม่อนุญาตให้เปลี่ยนแปลงชื่อทุกกรณี
4 วันนัดหมายให้มาก่อนเวลานัด 30 นาที เพื่อลดความแออัดและนำบัตรประชาชนตัวจริงมาด้วย ","เงื่อนไข
1 ต้องเป็นผู้ที่มีอายุ 18 ปีขึ้นไป สัญชาติไทย
2 การโทรลงทะเบียน 1 ครั้ง แจ้งชื่อได้ไม่เกิน 2 ท่าน
3 หลังจากลงทะเบียนเรียบร้อยไม่อนุญาตให้เปลี่ยนแปลงชื่อทุกกรณี
4 วันนัดหมายให้มาก่อนเวลานัด 30 นาที เพื่อลดความแออัดและนำบัตรประชาชนตัวจริงมาด้วย "
"หน่วยความร่วมมือบริการฉีดวัคซีนโควิด-19 กรุงเทพฯ-หอการค้าไทย ThaiPBS - THG

ขอเชิญผู้ที่มีอายุ 18 ปีขึ้นไป สัญชาติไทย จองคิว ฉีดวัคซีน แอสตราเซเนกา (เข็มที่ 1)

เปิดลงทะเบียนทางโทรศัพท์ 02-790-2855 (40 คู่สาย) 8 ส.ค.นี้ 09.00-16.00 น. หรือจนกว่าจะเต็มจำนวน ","หน่วยความร่วมมือบริการฉีดวัคซีนโควิด-19 กรุงเทพฯ-หอการค้าไทย ThaiPBS - THG

ขอเชิญผู้ที่มีอายุ 18 ปีขึ้นไป สัญชาติไทย จองคิว ฉีดวัคซีน แอสตราเซเนกา (เข็มที่ 1)

เปิดลงทะเบียนทางโทรศัพท์ 02-790-2855 (40 คู่สาย) 8 ส.ค.นี้ 09.00-16.00 น. หรือจนกว่าจะเต็มจำนวน "
"ศบค.สรุปข้อมูลการให้บริการ ฉีดวัคซีน COVID19 ทั่วประเทศ (ข้อมูลตั้งแต่ 28 ก.พ.-6 ส.ค. 64)

•ยอดฉีดทั่วประเทศสะสม 20,280,108 โดส
•เข็ม 1 : 15,687,291 คน
•เข็ม 2 : 4,406,723 คน
•เข็ม 3 : 186,094 คน","ศคบ.สรุปข้อมูลการให้บริการ ฉีดวัคซีน COVID19 ทั่วประเทศ (ข้อมูลตั้งแต่ 28 ก.พ.-6 ส.ค. 64)

•ยอดฉีดทั่วประเทศสะสม 20,280,108 โดส
•เข็ม 1 : 15,687,291 คน
•เข็ม 2 : 4,406,723 คน
•เข็ม 3 : 186,094 คน"
"นพ.โสภณ เอี่ยมศิริถาวร รองอธิบดีกรมควบคุมโรค ระบุภายในเดือนนี้แอสตราเซเนกาจะส่งมอบวัคซีนให้ไทยจำนวน 5.4 ล้านโดส ใกล้เคียงกันเดือนที่ผ่านมา และส่วนวัคซีนบริจาคที่มาก็คือวัคซีนแอสตราเซเนกาที่ผลิตที่อังกฤษจำนวน 400,000 กว่าโดส  ","นพ.โสภณ เอี่ยมศิริถาวร รองอธิบดีกรมควบคุมโรค ระบุภายในเดือนนี้แอสตราเซเนกาจะส่งมอบวัคซีนให้ไทยจำนวน 5.4 ล้านโดส ใกล้เคียงกันเดือนที่ผ่านมา และส่วนวัคซีนบริจาคที่มาก็คือวัคซีนแอสตราเซเนกาที่ผลิตที่อังกฤษจำนวน 400,000 กว่าโดส  "
"อัปเดต สธ.แถลงข่าวความคืบหน้าสถานการณ์ COVID19 ในไทย

ประเด็น: อัพเดทสถานการณ์วัคซีน โควิด19
โดย
- นพ.โสภณ เอี่ยมศิริถาวร รองอธิบดีกรมควบคุมโรค
- นพ.จักรรัฐ พิทยาวงศ์อานนท์ ผู้อำนวยการกองระบาดวิทยา กรมควบคุมโรค","อัปเดต สธ.แถลงข่าวความคืบหน้าสถานการณ์ COVID19 ในไทย

ประเด็น: อัพเดทสถานการณ์วัคซีน โควิด19
โดย
- นพ.โสภณ เอี่ยมศิริถาวร รองอธิบดีกรมควบคุมโรค
- นพ.จักรรัฐ พิทยาวงศ์อานนท์ ผู้อำนวยการกองระบาดวิทยา กรมควบคุมโรค"
"กรมควบคุมโรค ชี้แจงข้อเท็จจริงกรณีจดหมาย นพ.ยง แจงไม่รับจัดสรรไฟเซอร์ 20 โดส ระบุศูนย์เชี่ยวชาญเฉพาะทางด้านไวรัสวิทยา ดูแลบุคลากรดีไม่ต้องกระตุ้นภูมิ ส่วน อว.ระบุภาพรวมไทยฉีดวัคซีน 19 ล้านโดส มีไฟเซอร์เข็ม 3 จำนวน 1,422 โดส","กรมควบคุมโรค ชี้แจงข้อเท็จจริงกรณีจดหมาย นพ.ยง แจงไม่รับจัดสรรไฟเบอร์ 20 โดส ระบุศูนย์เชี่ยวชาญเฉพาะทางด้านไวรัสวิทยา ดูแลบุคลากรดีไม่ต้องกระตุ้นภูมิ ส่วน อว.ระบุภาพรวมไทยฉีดวัคซีน 19 ล้านโดส มีไฟเบอร์เข็ม 3 จำนวน 1,422 โดส"
"ความหวังเปลี่ยนเกมวิกฤต โควิด19 ด้วย วัคซีนแบบพ่นจมูก สัญชาติไทย กับ ""ดร.อนันต์ จงแก้ววัฒนา"" ผู้เชี่ยวชาญไวรัสวิทยา ไบโอเทค สวทช.","ความหวังเปลี่ยนเกมวิกฤต โควิด19 ด้วย วัคซีนแบบพ่นจมูก สัญชาติไทย กับ ""ดร.อนันต์ จงแก้ววัฒนา"" ผู้เชี่ยวชาญไวรัสวิทยา ไบโอเทค สวทช."
" ภาพรวมผู้ได้รับวัคซีน วันที่ 5 ส.ค. 64 เวลา 18.00 น.
• ยอดฉีดทั่วประเทศเพิ่มขึ้น: 670,834 โดส แบ่งเป็น
• เข็มที่ 1 : 397,275 คน
• เข็มที่ 2 :   98,369 คน
• เข็มที่ 3 :    175,190 คน"," ภาพรวมผู้ได้รับวัคซีน วันที่ 5 ส.ค. 64 เวลา 18.00 น.
• ยอดฉีดทั่วประเทศเพิ่มขึ้น: 670,834 โดส แบ่งเป็น
• เข็มที่ 1 : 397,275 คน
• เข็มที่ 2 :   98,369 คน
• เข็มที่ 3 :    175,190 คน"
"ประกาศ! ปิดรับลงทะเบียนจองคิว ฉีดวัคซีน โควิด19 ทางโทรศัพท์ ในผู้สูงอายุ 60 ปีขึ้นไป (เกิดก่อน 17 ก.ค. 2504) ขณะนี้มีผู้ลงทะเบียนเต็มจำนวนแล้ว 3,000 คิว (ประกาศ ณ 6 ส.ค. 64 เวลา 16.00 น.)

หมายเหตุ: หากท่านลงทะเบียนสำเร็จจะมี SMS จากผู้ส่ง","ประกาศ! ปิดรับลงทะเบียนจองคิว ฉีดวัคซีน โควิด19 ทางโทรศัพท์ ในผู้สูงอายุ 60 ปีขึ้นไป (เกิดก่อน 17 ก.ค. 2504) ขณะนี้มีผู้ลงทะเบียนเต็มจำนวนแล้ว 3,000 คิว (ประกาศ ณ 6 ส.ค. 64 เวลา 16.00 น.)

หมายเหตุ: หากท่านลงทะเบียนสำเร็จจะมี SMS จากผู้ส่ง"
"ปิดรับลงทะเบียนจองคิวทางโทรศัพท์ ผู้สูงอายุ 60 ปีขึ้นไป (เกิดก่อน 17 ก.ค.2504) กับหน่วยความร่วมมือบริการ ฉีดวัคซีน โควิด19 กทม.-หอการค้าไทย มีผู้ลงทะเบียนเต็มจำนวนแล้ว 3,000 คิว (ประกาศ ณ 6 ส.ค. 16.00 น.)

หากท่านลงทะเบียนสำเร็จจะมี SMS จากผู้ส่ง ","ปิดรับลงทะเบียนจองคิวทางโทรศัพท์ ผู้สูงอายุ 60 ปีขึ้นไป (เกิดก่อน 17 ก.ค.2504) กับหน่วยความร่วมมือบริการ ฉีดวัคซีน โควิด19 กทม.-หอการค้าไทย มีผู้ลงทะเบียนเต็มจำนวนแล้ว 3,000 คิว (ประกาศ ณ 6 ส.ค. 16.00 น.)

หากท่านลงทะเบียนสำเร็จจะมี SMS จากผู้ส่ง "
" อัปเดต ยอดผู้ป่วยติดเชื้อ COVID19 ทั่วโลก วันนี้ (6 ส.ค. 64) ณ เวลา 10.00 น.

• ชิลีเตรียมฉีดวัคซีนเข็ม 3 ให้ผู้ที่ฉีดซิโนแวค
• สหรัฐฯ เตรียมฉีดวัคซีนกระตุ้นภูมิให้กลุ่มเสี่ยง"," อัปเดต ยอดผู้ป่วยติดเชื้อ COVID19 ทั่วโลก วันนี้ (6 ส.ค. 64) ณ เวลา 10.00 น.

• ชิลีเตรียมฉีดวัคซีนเข็ม 3 ให้ผู้ที่ฉีดซิโนไทย
• เกาหลีใต้ฯ เตรียมฉีดวัคซีนกระตุ้นภูมิให้กลุ่มเสี่ยง"
